tekst	korpus	reci	duzina.reci	infinitivi	trebati	da	imen.glag	duzina.reci.2
hrwac.00000073.txt.taglem	hrwac	529	5.86956521739	0.031746031746	0.0	7.56143667297e-07	0.768382352941	4
hrwac.00000007.txt.taglem	hrwac	270	5.94074074074	0.257142857143	0.0	7.40740740741e-07	0.751773049645	4
hrwac.00000027.txt.taglem	hrwac	146	6.22602739726	0.0	0.0	0.0	0.848101265823	5
hrwac.00000017.txt.taglem	hrwac	447	5.74272930649	0.109090909091	0.0	1.11856823266e-06	0.759825327511	3
hrwac.00000051.txt.taglem	hrwac	291	6.29896907216	0.166666666667	0.0	3.43642611684e-07	0.847133757962	5
hrwac.00000055.txt.taglem	hrwac	213	5.23943661972	0.192307692308	0.0	0.0	0.767857142857	1
hrwac.00000005.txt.taglem	hrwac	235	5.18723404255	0.230769230769	0.0	1.27659574468e-06	0.657894736842	1
hrwac.00000022.txt.taglem	hrwac	200	5.66	0.15625	0.0	2.5e-06	0.659574468085	3
hrwac.00000014.txt.taglem	hrwac	201	6.16915422886	0.111111111111	0.0	4.97512437811e-07	0.842105263158	5
hrwac.00000004.txt.taglem	hrwac	323	5.16408668731	0.209302325581	1.0	2.16718266254e-06	0.727848101266	1
hrwac.00000095.txt.taglem	hrwac	277	5.63176895307	0.0	0.0	0.0	0.821428571429	3
hrwac.00000019.txt.taglem	hrwac	414	5.71014492754	0.0	0.0	0.0	0.821596244131	3
hrwac.00000097.txt.taglem	hrwac	713	6.04347826087	0.047619047619	0.0	2.80504908836e-07	0.822535211268	5
hrwac.00000036.txt.taglem	hrwac	197	4.80203045685	0.119047619048	0.0	5.07614213198e-07	0.607476635514	1
hrwac.00000067.txt.taglem	hrwac	206	5.39805825243	0.255813953488	1.0	1.45631067961e-06	0.601851851852	2
hrwac.00000008.txt.taglem	hrwac	2174	5.80680772769	0.239130434783	0.5	6.89972401104e-07	0.764102564103	4
hrwac.00000094.txt.taglem	hrwac	318	5.55660377358	0.142857142857	0.0	1.88679245283e-06	0.683870967742	3
hrwac.00000002.txt.taglem	hrwac	751	5.48468708389	0.141025641026	0.0	0.0	0.790884718499	2
hrwac.00000045.txt.taglem	hrwac	280	5.81071428571	0.2	0.0	0.0	0.772727272727	4
hrwac.00000013.txt.taglem	hrwac	526	6.15399239544	0.11320754717	0.0	1.90114068441e-07	0.794573643411	5
hrwac.00000024.txt.taglem	hrwac	700	5.89142857143	0.0972222222222	0.0	0.0	0.769968051118	4
hrwac.00000098.txt.taglem	hrwac	309	6.11650485437	0.290322580645	0.0	3.23624595469e-07	0.818713450292	5
hrwac.00000020.txt.taglem	hrwac	816	5.60049019608	0.0546875	0.0	7.35294117647e-07	0.706422018349	3
hrwac.00000093.txt.taglem	hrwac	630	6.01746031746	0.253731343284	0.0	3.1746031746e-07	0.785942492013	4
hrwac.00000034.txt.taglem	hrwac	222	5.86036036036	0.147058823529	0.0	4.5045045045e-07	0.716666666667	4
hrwac.00000052.txt.taglem	hrwac	324	4.91975308642	0.129032258065	0.0	2.77777777778e-06	0.607594936709	1
hrwac.00000053.txt.taglem	hrwac	1894	5.43294614572	0.182170542636	0.333333333333	4.75184794087e-07	0.733746130031	2
hrwac.00000062.txt.taglem	hrwac	202	5.42574257426	0.205128205128	0.0	9.90099009901e-07	0.654867256637	2
